ID,C1,C2,A_0,A_1,A_2,TV1_0,TV1_1,TV1_2,M_0,M_1,M_2,Y_0,Y_1,Y_2
35,0,1,0,0,0,0,0,0,0.312783051,0.477630078,0.434917433,0,1,1
36,0,1,0,0,0,0,0,1,0.26215726,0.531049158,0.491779973,0,0,0
37,0,1,0,0,0,0,0,0,0.038987661,0.225674728,0.081418143,0,0,0
38,0,1,1,1,1,0,0,0,0.289593161,0.475753398,0.405928725,1,1,1
39,0,1,1,1,1,1,1,1,0.749783661,0.457246477,0.150073743,1,1,1
40,0,1,1,1,1,0,0,0,0.688829861,0.630212628,0.316765423,0,0,0
41,0,1,1,0,0,0,0,0,0.983668461,1.341412328,1.190643343,0,1,1
42,0,1,1,1,1,1,0,1,0.984935161,0.752370128,0.454459463,0,0,1
43,0,0,1,1,0,0,0,0,0.042945361,0.252505128,-0.094175257,1,1,1
44,0,1,1,1,1,1,1,0,0.858814261,1.413512628,1.366577443,0,0,0
45,0,1,1,1,1,0,0,0,0.797309861,0.768739228,0.859747043,1,1,1
46,0,0,0,1,0,0,0,0,0.453273401,0.395786827,1.168795392,1,1,1
47,0,1,1,1,1,1,1,1,0.648114061,0.807991128,0.661036343,0,1,1
48,0,1,0,0,0,0,0,0,1.015940861,1.140999228,0.809509643,1,0,1
49,0,1,1,1,1,0,0,1,0.333005251,0.933652928,1.692888243,0,0,0
50,1,1,1,1,1,1,1,0,-0.395630339,-0.283243672,-0.318766357,0,0,0
51,1,0,0,1,0,1,1,1,0.664910645,0.92148087,0.799368039,1,0,0
52,1,1,1,1,1,1,1,1,0.523162061,0.732657028,0.657625543,1,0,1
53,1,1,1,0,1,1,1,0,-0.163767039,0.115625328,0.001403143,1,1,1
54,0,1,0,1,1,0,1,1,0.497580961,0.392184678,0.374481493,1,1,1
55,1,1,1,1,1,0,0,0,0.254367401,0.137865928,0.095731143,1,1,1
56,0,1,0,0,0,1,1,1,1.097309261,-0.037122672,1.166243443,1,1,1
57,0,1,0,0,0,1,1,1,0.638188461,0.796982628,1.352913643,1,0,1
58,0,0,0,0,1,1,1,1,0.634582341,0.724739408,0.338801473,1,0,0
59,0,0,0,0,0,1,0,1,0.491034791,0.615211835,1.175291285,1,1,1
60,1,1,0,0,0,1,1,1,0.774039661,0.702476428,-0.007249857,1,1,1
61,1,1,0,0,0,0,0,1,-0.303089939,-0.200317972,-0.017722857,0,0,1
62,1,1,1,1,1,1,1,0,-0.151903439,0.039806328,0.322082633,0,0,1
63,0,1,1,1,1,1,1,1,-0.227705439,0.016991428,0.266581443,0,0,0
64,1,0,1,0,1,1,1,1,-0.163659139,0.078280528,0.236469243,1,1,1
65,0,0,1,1,1,1,0,1,0.267321415,0.661760928,0.121741543,1,1,1
66,1,0,1,1,1,1,1,0,-0.241141739,-0.031178072,-0.097997357,0,1,1
67,0,1,0,1,1,1,1,1,0.809109461,0.974258428,0.702901243,0,1,1
68,0,1,1,0,0,0,1,1,1.015937461,1.048667328,0.274804343,1,1,1
69,0,1,0,1,1,1,1,1,0.550159761,0.646366528,0.468006323,1,0,1
70,0,1,0,0,0,1,1,1,0.188459491,0.145427228,0.058620643,1,1,1
71,0,1,1,1,1,1,1,1,0.985718761,1.203824028,0.896250943,1,1,1
72,1,0,1,1,1,0,0,1,-0.168745139,-0.006767272,-0.061917657,1,1,1
73,0,0,1,1,1,0,0,0,0.654850261,0.833809328,0.550374943,0,1,1
74,1,1,1,1,1,1,1,1,-0.227139439,-0.021902872,-0.060052157,0,1,1
75,0,1,0,0,0,0,0,0,0.465350661,0.693480628,0.628063243,1,1,1
76,0,1,1,1,1,1,1,1,-0.546013161,0.841338528,0.752438243,1,1,0
77,0,1,1,1,1,1,1,1,-0.437438139,-0.255468172,-0.172414057,1,1,1
78,0,1,1,1,1,1,1,1,0.416278761,0.292142228,0.104469843,1,1,1
79,0,1,1,1,1,0,1,0,0.448932661,0.271670928,0.222721643,1,1,1
80,1,1,1,1,1,1,1,1,-0.282277439,-0.114554372,-0.078797357,1,1,1
81,1,1,1,1,1,0,1,0,0.333364611,0.467924298,0.646830943,1,1,1
82,0,1,1,1,1,1,0,1,-0.180636439,-0.011465972,-0.079250657,1,1,1
83,0,1,0,1,1,0,0,0,-0.042466539,0.223811728,-0.017060157,1,1,1
84,0,1,0,0,0,1,0,1,-0.066419739,0.137778728,0.081029643,1,1,1
85,1,1,1,1,1,0,0,0,0.159579261,0.096410928,0.335936833,1,1,1
86,0,1,0,0,1,1,1,1,-0.257848539,-0.073673672,-0.136897957,0,1,1
87,0,1,0,0,0,0,0,1,0.053611161,0.090297828,-0.022608557,0,1,0
88,0,1,1,1,1,0,1,1,0.400640861,0.487037058,0.248780043,0,1,1
89,0,1,1,1,1,0,1,1,-0.348810039,-0.124047472,-0.201024057,0,0,0
90,0,1,0,0,0,1,0,0,-0.285561739,0.104241328,-0.118299157,1,0,1
91,0,1,1,1,1,0,0,1,1.282003561,1.086284928,0.894966343,1,1,1
92,1,1,1,1,1,1,1,1,-0.068121439,-0.156306472,0.206964443,1,1,1
93,0,1,1,1,1,1,1,1,0.653909361,0.760790328,0.695301443,1,1,1
94,0,1,0,0,1,1,1,1,0.288600571,0.770600128,0.449085583,1,1,1
95,0,1,1,0,0,0,0,0,0.571682061,0.198063028,0.738753043,1,1,1
96,1,1,1,1,1,1,1,1,0.183186231,1.023558728,0.831603843,1,1,1
97,0,1,0,0,0,0,1,1,-0.273015339,-0.112602672,-0.149041457,1,1,1
98,0,1,1,1,1,0,1,1,-0.053106939,0.202666728,0.123580043,1,1,1
99,1,1,0,0,0,0,1,1,0.457131461,0.352886128,0.958427043,0,1,0
100,0,1,1,1,1,1,1,1,0.331802551,0.754664128,0.739991243,1,1,1
101,1,1,1,1,1,0,1,1,0.166049821,0.677657628,0.805663443,1,1,1
102,1,1,0,0,0,0,1,1,0.134556861,0.402372738,0.760333043,1,1,1
103,0,1,1,1,1,1,0,1,-0.314143739,0.065730728,-0.212420757,1,1,1
104,1,1,1,1,1,1,1,1,-0.210143439,-0.028669472,-0.216745857,1,1,1
105,0,1,0,0,0,1,1,0,1.542547761,0.917203328,1.615044043,1,1,1
106,0,1,1,1,1,1,0,1,-0.277552439,-0.112091272,-0.097741057,1,0,1
107,0,1,1,1,1,1,1,0,0.323003941,0.978142728,0.590852543,1,1,1
108,0,1,1,1,1,1,1,0,0.138668761,0.097010728,0.069355643,0,0,0
109,1,1,1,1,1,1,1,0,-0.428078739,0.344400728,0.023549843,0,1,1
110,1,1,1,1,1,1,1,1,-0.051747339,0.766257928,0.406887897,1,1,1
111,0,1,1,1,1,1,1,1,0.687162761,0.869437428,0.757852043,1,1,1
112,0,1,1,1,1,1,1,0,0.000931861,-0.046173672,0.145982243,1,1,0
113,1,1,1,1,1,1,1,1,-0.546013161,-0.356306293,-0.231976357,1,1,1
114,1,1,1,1,1,1,1,1,-0.247920539,-0.277032172,-0.117718857,1,1,1
115,1,1,1,1,1,1,0,0,0.186428351,0.215473528,0.261071143,1,1,1
116,0,1,1,1,1,1,1,1,0.979028561,1.323725628,0.078870443,1,1,1
117,1,1,1,1,1,0,1,0,1.542547761,0.368519748,0.189648543,1,1,1
118,0,1,0,0,0,1,1,1,0.777526061,0.942958428,0.739104643,1,0,1
119,0,1,1,1,1,0,0,0,-0.031092139,0.139630028,0.092456543,1,1,1
120,1,1,1,1,1,1,1,1,-0.192243739,-0.191722672,-0.202051257,1,1,1
121,0,1,1,1,1,0,0,0,-0.007082039,0.209770428,0.166970443,0,1,1
122,1,1,1,1,1,1,1,1,0.414126461,1.077166128,0.632351243,1,0,1
123,1,1,0,0,0,0,0,0,-0.120769139,0.072858728,0.238047243,0,0,0
124,1,1,0,0,0,0,1,0,0.010018361,1.732254628,0.153179843,1,1,1
125,0,1,1,1,1,1,1,1,0.092155561,0.214418228,0.353426563,0,0,0
126,0,1,1,1,1,0,0,0,-0.172477139,-0.010865172,-0.009531657,1,1,0
127,0,1,0,0,0,0,1,1,0.850339261,0.632452228,0.372369173,1,1,1
128,0,1,1,1,1,1,1,1,-0.123328939,0.039778628,-0.000292657,1,1,1
129,0,1,0,0,0,0,0,0,-0.044820039,0.739946428,0.201485443,1,0,0
130,0,1,1,1,1,0,0,0,0.299616361,0.418804458,0.348133733,0,0,0
131,1,1,0,0,0,1,1,1,-0.140962034,0.045281714,-0.074181661,1,1,1
132,0,1,0,0,0,1,1,1,0.014570361,0.483748788,0.454358683,1,1,1
133,0,1,1,1,1,0,0,1,0.149210761,0.344524828,0.219437843,1,1,1
134,1,1,1,1,1,0,0,0,-0.118285039,0.186259428,0.687483843,0,1,1
135,0,1,0,1,1,0,0,1,1.542547761,0.885848228,0.869353143,1,1,1
136,0,1,0,0,0,0,1,1,0.301028451,0.696476928,1.048805243,1,1,1
137,0,1,1,1,1,1,1,1,0.334632841,0.249824728,0.183633043,1,1,1
138,0,1,0,0,0,1,1,1,0.667458661,0.819621328,0.662621643,0,0,1
139,1,1,1,1,1,0,0,0,0.872999561,0.503015428,0.157158643,1,1,1
140,0,1,1,1,1,0,1,1,0.839735361,1.201660628,0.745086543,0,1,1
141,1,1,1,1,1,1,1,1,0.539135961,0.744659828,0.503105933,1,1,1
142,1,1,0,0,0,1,1,1,-0.328629539,-0.109921672,-0.186576757,1,1,1
143,0,0,1,1,1,1,1,1,0.837574961,1.028310828,-0.241018657,1,1,1
144,0,1,0,0,0,1,0,1,0.314955931,0.493692858,0.42141812,1,0,1
145,1,1,0,0,0,0,0,0,0.527279061,0.174221528,1.129690643,1,1,1
146,0,1,1,0,0,1,1,1,0.713828961,0.436527498,0.924602943,1,1,1
147,1,1,1,0,1,1,1,1,0.522188161,0.312998528,0.261674443,1,1,1
148,1,1,1,1,1,1,1,1,-0.065761939,0.347184728,0.408046355,1,1,1
149,0,1,0,0,0,0,1,0,0.547372861,0.709181228,0.611107743,0,0,1
150,0,1,1,1,1,1,0,0,0.652307161,0.895452328,0.511132333,1,0,1
151,0,1,1,1,1,1,1,0,1.208298361,1.374986128,1.208043843,1,1,1
152,0,1,0,0,1,0,0,0,0.396505061,0.424435658,0.126015243,1,1,1
153,1,1,1,1,1,0,0,0,0.975641461,0.184971628,0.645724143,1,1,1
154,0,1,1,1,1,0,0,0,0.336786061,-0.159900472,0.41801902,0,0,0
155,0,0,0,0,0,1,1,1,0.095487361,0.340646128,0.200180743,1,1,1
156,1,0,1,1,1,0,0,0,1.152682261,0.617793228,1.692888243,0,0,0
157,0,1,0,0,0,1,1,1,0.099023661,0.291024428,0.232667643,1,1,1
158,1,1,0,0,0,1,1,1,0.428135038,0.094431883,0.074976936,1,1,1
159,1,1,1,1,1,1,1,1,0.045239461,0.047481228,0.298199943,1,1,1
160,0,0,0,1,1,0,1,0,0.303337661,1.512772428,-0.395672679,1,0,0
161,0,1,1,1,1,1,1,1,0.639319661,1.707735428,1.104031643,1,1,1
162,1,1,1,1,1,0,0,0,-0.174972117,-0.102119617,1.36128132,0,1,0
163,0,0,1,1,1,0,1,0,-0.221974339,0.317424228,-0.041277157,1,1,1
164,1,0,1,1,1,1,1,1,0.429394461,0.619004128,0.575027243,1,1,1
165,1,0,1,1,1,1,0,1,0.143263161,0.154044128,0.144910743,1,1,1
166,1,0,1,1,1,0,0,0,-0.176201339,0.047564728,0.049033443,1,1,1
167,0,1,1,1,1,1,0,0,1.150482961,0.775273928,0.662150543,1,1,0
168,0,1,1,1,1,1,1,1,0.005356361,0.110246328,0.130074043,1,1,1
169,1,1,1,1,1,0,0,0,1.069012061,0.431449238,0.846728543,1,0,0
170,0,1,1,1,1,0,0,0,-0.093673839,0.089260628,0.065451343,0,1,1
171,1,1,1,0,0,1,1,1,0.361875281,0.828672228,0.447998463,0,0,1
172,0,1,1,1,1,1,0,0,0.986115161,0.820758328,0.937368243,1,1,1
173,1,1,1,1,1,1,1,1,-0.265876639,-0.046325672,-0.022118957,1,1,1
174,0,1,1,1,1,1,1,1,0.095316861,0.280609928,0.003956243,1,1,1
175,0,1,0,0,0,1,1,1,1.525175561,0.992073928,0.103839043,1,0,1
176,0,1,0,1,0,0,1,0,0.940405461,0.226003128,1.335721443,0,1,1
177,1,1,0,0,1,0,0,0,-0.367101639,-0.144818772,-0.092350357,0,0,1
178,1,1,1,1,1,0,0,0,-0.512341539,0.187672428,-0.320740857,1,1,1
179,0,1,1,1,1,0,1,0,0.742790561,0.843784628,0.157923543,1,1,0
180,0,1,1,1,1,1,1,1,0.036037561,0.217386828,0.210005043,1,1,1
181,0,1,1,1,1,1,1,1,0.350989241,0.139515328,0.131547043,1,1,1
182,1,1,1,1,1,1,1,1,-0.025804139,0.244884728,0.132993143,1,1,1
183,1,1,0,0,0,0,0,1,0.190270091,0.394647618,0.290499043,0,1,1
184,0,1,1,1,1,0,0,1,0.611367461,0.449718932,0.497429233,1,1,1
185,1,1,0,1,1,1,1,1,-0.139201039,0.054560528,-0.038324857,0,1,1
186,1,1,0,0,0,0,0,0,0.035388261,0.207463028,0.178733243,1,0,1
187,1,1,1,1,1,1,0,1,0.028382061,-0.091007972,0.239627543,1,1,1
188,1,1,1,1,1,1,1,1,-0.220072339,-0.135125172,0.022680143,1,1,1
189,0,1,1,1,1,1,1,1,-0.164221039,0.092950228,0.161188543,1,1,1
190,1,1,1,1,1,1,1,1,-0.348261739,-0.102737372,-0.151558557,1,1,1
191,1,1,1,1,1,1,1,1,-0.125680539,0.076369728,-0.266435357,1,1,1
192,0,1,1,1,1,1,1,0,0.669326261,0.553612338,1.040022743,1,1,1
193,1,1,0,0,0,1,1,1,-0.099486039,0.029023628,0.145740543,1,1,1
194,1,1,0,0,0,1,1,0,0.532221961,1.732254628,0.346325883,0,1,0
195,0,1,1,1,1,1,0,1,0.794029761,0.936060628,0.359460053,1,0,1
196,1,1,1,1,1,1,1,1,0.355025701,0.355167408,0.278791543,1,1,1
197,0,1,1,1,1,1,1,1,-0.051644239,0.275821328,0.024966243,1,1,1
198,0,1,1,0,0,1,1,1,-0.177944539,0.163838728,-0.114444757,0,1,1
199,1,1,1,1,1,1,1,1,-0.275922339,-0.170287672,-0.165068057,1,1,1
200,0,1,1,1,1,1,1,1,-0.160643539,-0.008762172,0.003136143,1,0,1
201,1,1,1,1,1,1,1,1,-0.061596739,0.094388828,0.066776043,1,1,1
202,1,1,1,1,1,1,1,1,0.043507661,-0.140872572,-0.055678157,1,1,1
203,1,1,1,1,1,1,1,1,-0.194036239,-0.026664772,-0.090157657,1,1,1
204,1,1,0,0,0,1,1,0,-0.104571139,0.089975528,0.036547043,1,0,0
205,1,1,1,1,1,1,1,1,-0.108814039,-0.023551972,-0.119927057,1,1,1
206,1,1,1,1,1,1,1,1,-0.222260339,0.038048728,0.107766443,1,1,1
207,1,1,1,1,1,1,1,1,-0.155893939,-0.333013272,-0.395672679,1,1,1
208,1,1,1,1,1,0,0,0,0.237925661,0.417398288,0.334501453,0,1,0
209,1,1,1,1,1,0,0,0,0.328824771,0.467499198,0.424960855,1,1,1
210,1,1,1,1,1,1,1,1,0.423758561,0.422510108,0.659100443,0,0,0
211,1,1,1,1,0,1,1,0,0.612571261,0.795617428,1.301166343,1,0,0
212,1,0,1,1,1,0,0,0,0.038156061,0.253332828,0.681028543,1,1,1
213,1,0,0,1,1,1,1,1,0.330067521,0.589385228,0.656050143,1,1,1
214,0,0,0,0,0,0,0,0,1.154608761,0.528706238,0.133297543,0,0,0
215,0,0,0,0,0,1,0,0,0.308976591,0.861034728,0.843874743,0,1,1
216,0,0,0,0,0,1,1,1,0.813726261,0.799200028,0.458452833,1,1,1
217,0,0,0,0,0,1,0,1,0.588137261,0.475181698,0.428338443,1,1,0
218,0,0,0,0,0,1,1,1,0.027377861,0.091608628,0.469179303,0,1,1
219,0,0,0,0,0,0,0,0,1.278206561,0.788522028,0.225108243,0,1,0
220,1,0,0,0,0,0,0,0,0.583461361,1.656117428,1.096410943,0,0,0
221,1,1,1,1,0,1,1,1,-0.237821239,0.390019308,1.302001843,1,1,1
222,1,1,1,1,1,1,1,1,0.019445062,0.215780234,0.082837894,1,1,1
223,0,1,1,1,1,1,1,1,1.187890888,0.973975477,0.997365162,1,1,1
224,0,1,0,0,0,1,1,1,-0.081115139,0.087282528,0.042692543,1,1,1
225,1,1,1,1,1,1,1,0,-0.131723839,0.028561628,-0.013761557,1,1,1
226,0,1,0,0,0,1,0,1,0.478421461,0.815984128,0.612050143,0,0,1
227,1,1,0,0,0,0,0,0,0.301954871,0.730097028,0.819410343,1,0,0
228,0,1,1,1,1,1,1,0,0.684083461,0.589392128,0.507824103,1,1,1
229,1,1,1,1,1,1,1,1,-0.130979439,0.052346428,0.012516443,1,1,1
230,1,1,1,1,1,1,1,1,-0.133176139,0.159024428,0.075571243,1,1,1
231,0,1,1,0,0,0,0,1,-0.058801239,-0.178684372,0.240988743,0,0,1
232,1,1,0,0,0,1,1,1,0.399256561,0.645834728,0.841925443,1,1,1
233,1,1,1,1,1,1,1,1,0.025863061,0.144317128,1.353259343,1,0,0
234,1,1,0,0,1,1,1,0,0.574543661,0.810654228,0.198005843,1,0,1
235,1,1,1,1,1,1,1,0,-0.173607339,1.605040428,0.315961253,0,1,0
236,1,1,1,1,1,1,1,0,0.143985761,0.051936528,0.073626843,1,1,1
237,0,1,1,1,1,1,1,1,0.635279161,0.785955328,0.189457043,1,0,1
238,0,1,0,0,0,0,1,0,0.341121611,0.293644428,0.394684023,1,1,1
239,0,1,0,0,0,1,1,1,0.139682861,-0.127726172,-0.060528357,1,1,1
240,0,1,0,1,1,0,0,0,0.598903861,0.765099328,0.314291443,1,1,1
241,1,1,1,1,1,0,0,0,-0.175762739,-0.096023872,-0.055098157,0,1,1
242,1,1,1,1,1,0,0,0,-0.123450439,0.453805054,0.219169843,1,0,0
243,0,1,1,1,1,1,1,1,-0.078525439,0.157337428,0.355495173,0,0,1
244,1,1,1,1,0,1,1,1,-0.330181339,0.184745928,0.069428943,1,1,1
245,0,1,0,0,0,0,1,0,0.242038228,0.406544378,0.343918145,1,1,0
246,0,1,1,1,1,0,0,0,1.125531761,0.504379268,0.770362743,1,1,1
247,1,1,1,1,1,1,0,1,0.753646061,0.536615178,-0.070544457,1,1,1
248,0,1,1,1,1,1,1,0,0.168381311,0.202271728,0.283114643,1,1,1
249,0,1,1,1,1,1,1,1,0.585968961,0.474042568,0.420999551,1,1,1
250,1,1,0,0,0,0,0,1,-0.068127139,0.392514668,1.518653043,1,0,1
251,1,1,0,0,1,1,0,0,-0.003570039,0.179402328,0.555475543,1,1,1
252,1,1,1,1,1,1,1,1,-0.214708639,0.504787538,0.126991443,1,1,1
253,0,1,1,1,1,1,1,0,0.223475161,1.066514828,0.474411763,1,1,1
254,0,1,1,1,1,0,0,1,0.059463361,0.204752828,0.430709783,1,1,1
255,0,1,1,1,1,1,1,1,-0.038060439,0.145965228,0.085537143,0,0,0
256,0,1,1,1,1,0,1,0,0.279165531,0.211183828,0.413900191,1,1,1
257,0,1,0,0,1,1,1,1,0.181272031,0.196488928,0.098269143,1,1,0
258,0,1,0,1,1,1,1,1,-0.349605339,-0.176371072,0.400236173,1,1,1
259,1,1,0,0,0,1,1,0,0.315830921,0.223138728,-0.110869057,1,0,0
260,1,1,1,1,1,1,1,1,-0.092192139,0.067531628,-0.202324557,1,1,1
261,1,1,1,1,1,1,1,1,-0.153292954,0.184465086,-0.358424461,1,1,0
262,1,1,1,1,1,1,0,0,-0.362849056,0.117754137,0.068358585,0,0,0
263,0,1,1,1,1,0,1,0,0.265444491,0.841162228,0.763157043,0,0,0
264,1,1,1,1,1,1,1,1,-0.546013161,-0.356306293,-0.362981257,1,1,1
265,1,1,1,1,1,1,1,1,-0.445248139,0.154485828,-0.133243657,1,1,1
266,0,1,1,1,0,1,1,0,-0.071566539,0.047325428,-0.060077957,1,1,1
267,0,1,1,1,1,1,1,1,0.143161661,0.357996388,0.558712843,1,1,1
268,0,1,1,1,1,0,1,1,0.011325861,-0.010148472,-0.040693257,1,1,1
269,1,1,1,1,1,1,1,1,-0.256877839,-0.115388865,0.082148865,1,1,1
270,0,1,1,1,1,1,1,1,0.161572661,0.381485428,0.296364543,1,1,1
271,1,1,1,1,1,1,0,1,0.352086571,0.631310028,0.083854343,1,1,1
272,1,1,1,0,0,1,1,1,-0.031080039,0.320677628,0.197912243,1,1,1
273,1,1,1,0,0,1,1,0,-0.384428339,-0.033154872,0.081361743,0,0,1
274,0,1,0,0,0,1,1,1,0.184654091,0.258914228,0.128131143,1,1,1
275,0,1,1,1,1,1,0,0,0.285145488,0.482673189,0.412386354,1,1,1
276,0,1,1,1,1,1,0,1,-0.125558734,0.072539275,0.055023969,1,1,1
277,1,1,1,1,1,1,0,1,-0.157968312,-0.056121225,-0.033858523,1,1,0
278,0,1,1,1,1,1,1,1,-0.149492039,0.171321128,-0.076255357,1,1,1
279,0,1,1,1,1,1,1,0,0.645835161,0.443200018,0.179313443,1,1,1
280,1,1,1,1,1,1,1,1,-0.373412939,0.518177228,0.243449243,1,1,1
281,1,1,1,1,1,1,0,1,0.475262761,0.336224528,0.001830043,0,1,1
282,1,1,1,1,1,0,1,1,-0.414040639,0.224567528,0.770486343,0,1,1
283,1,0,1,1,1,0,0,1,0.004054761,0.129530028,0.098166343,1,1,1
284,1,0,0,0,0,0,0,0,-0.358164939,0.106303528,0.171227343,1,1,1
285,1,0,1,1,1,0,0,0,-0.449664339,-0.340519972,-0.283651357,1,1,1
286,0,1,1,1,1,1,1,1,-0.193762439,0.035075028,0.010337643,1,1,1
287,1,1,0,0,0,0,1,1,-0.429233639,1.605840428,1.300101143,1,1,1
288,1,1,1,1,1,1,0,0,-0.396232139,-0.028147972,0.308452943,1,1,1
289,0,1,1,1,1,0,0,0,0.412945761,0.331074928,0.268000943,1,1,1
290,0,1,1,1,1,1,1,1,0.805800361,0.051065728,1.463996043,1,1,1
291,1,1,1,1,1,0,0,0,0.112514461,0.183095328,0.270301243,1,0,1
292,1,1,1,1,1,1,1,1,0.653396361,0.667582328,0.817539243,1,1,1
293,1,1,0,1,1,0,1,1,-0.137673839,-0.024239572,-0.214652257,1,1,1
294,0,1,0,0,0,1,1,1,-0.192692439,0.112113728,0.430448193,1,1,1
295,0,1,0,0,0,0,1,0,0.833669261,0.924089128,0.834200143,1,1,1
296,0,1,1,1,1,0,0,1,0.633928861,0.346438628,0.465417753,0,1,1
297,1,1,1,1,1,1,1,1,-0.190254839,0.542243228,0.234615443,1,1,1
298,1,1,1,1,1,0,1,0,-0.169161839,0.067579128,0.358250413,1,1,1
299,0,1,0,0,0,1,1,1,0.590606261,0.756580228,0.779991243,1,1,1
300,1,1,1,1,1,1,1,1,-0.258811839,0.188462128,-0.077990557,1,1,1
301,0,1,1,1,1,1,1,1,0.638698961,1.082832728,0.510967643,1,1,1
302,1,1,1,1,1,1,0,0,0.225118101,0.423648228,0.178173543,1,1,1
303,0,1,1,1,1,1,1,1,0.051863161,0.184543328,0.156625943,1,1,1
304,0,1,1,1,1,1,1,1,-0.064882939,0.076456328,-0.007620357,1,1,1
305,1,1,1,1,1,1,1,0,0.646279961,0.634472528,0.205357543,0,1,1
306,0,1,1,1,1,1,1,1,0.537168461,1.500383428,0.311972143,1,1,1
307,0,1,1,1,1,1,1,1,0.132369761,0.364582818,0.124517643,1,1,1
308,1,1,1,1,1,0,0,0,-0.192316339,-0.071940672,-0.081680057,1,1,1
309,1,1,0,0,0,0,0,0,0.061938661,0.184183128,0.474418393,1,0,1
310,0,1,1,1,1,1,1,1,1.068229261,1.144880928,1.403404943,1,1,1
311,0,1,0,0,0,1,1,1,0.682024061,0.190962628,0.164670043,1,1,1
312,0,1,0,0,0,0,0,0,0.624096261,1.079134428,0.759457643,0,0,0
313,1,1,1,1,1,0,0,0,-0.008003139,0.090506728,0.410241168,0,1,1
314,1,1,1,0,1,1,1,1,0.737326561,0.849195528,0.961102243,1,1,1
315,1,1,0,1,1,1,1,0,0.282904281,0.157576728,0.137847243,1,1,1
316,0,1,1,1,1,0,0,0,0.676989913,0.742297983,0.424124501,1,1,1
317,1,1,0,1,1,1,1,0,-0.163470039,-0.099472972,0.027774543,1,1,1
318,0,1,0,0,1,1,1,0,-0.189376339,-0.029831272,0.183739343,1,1,1
319,1,1,1,1,1,1,1,0,0.123181961,0.054807928,0.500063883,1,1,1
320,0,1,0,1,1,0,0,0,1.358276561,1.166149128,0.403503023,1,1,1
321,1,1,1,1,1,0,0,0,0.251195831,0.286994228,0.192145143,0,1,1
322,1,1,1,1,1,1,0,0,0.626903861,0.621625028,0.612164343,1,1,1
323,1,1,0,0,0,1,1,1,0.820448661,0.948080928,0.781607743,1,1,1
324,0,1,1,0,0,1,1,1,0.183907071,0.128629128,0.135758343,1,1,1
